,Date,New_cases
0,2020-02-25,0.0
1,2020-02-26,0.0
2,2020-02-27,5.533788296812483e-07
3,2020-02-28,3.689192197874989e-07
4,2020-02-29,1.6601364890437447e-06
5,2020-03-01,1.1067576593624966e-06
6,2020-03-02,1.8445960989374945e-06
7,2020-03-03,2.213515318724993e-06
8,2020-03-04,5.718247906706232e-06
9,2020-03-05,6.087167126493731e-06
10,2020-03-06,6.087167126493731e-06
11,2020-03-07,4.4270306374499865e-06
12,2020-03-08,3.5047325879812388e-06
13,2020-03-09,1.1989874643093711e-05
14,2020-03-10,4.556152364375611e-05
15,2020-03-11,4.445476598439361e-05
16,2020-03-12,3.228043173140615e-05
17,2020-03-13,3.799867963811238e-05
18,2020-03-14,2.711556265438117e-05
19,2020-03-15,1.8445960989374943e-05
20,2020-03-16,1.8261501379481196e-05
21,2020-03-17,3.3202729780874896e-05
22,2020-03-18,3.2464891341299895e-05
23,2020-03-19,3.928989690736863e-05
24,2020-03-20,4.427030637449986e-05
25,2020-03-21,5.681355984727482e-05
26,2020-03-22,3.20959721215124e-05
27,2020-03-23,2.7300022264274916e-05
28,2020-03-24,5.460004452854983e-05
29,2020-03-25,5.773585789674357e-05
30,2020-03-26,5.386220608897483e-05
31,2020-03-27,5.4968963748337326e-05
32,2020-03-28,4.8328417792162346e-05
33,2020-03-29,3.0620295242362406e-05
34,2020-03-30,1.955271864873744e-05
35,2020-03-31,4.8697337011949846e-05
36,2020-04-01,3.836759885789988e-05
37,2020-04-02,3.652300275896239e-05
38,2020-04-03,3.652300275896239e-05
39,2020-04-04,3.0251376022574903e-05
40,2020-04-05,1.6232445670649948e-05
41,2020-04-06,1.3281091912349958e-05
42,2020-04-07,2.932907797310616e-05
43,2020-04-08,2.582434538512492e-05
44,2020-04-09,1.955271864873744e-05
45,2020-04-10,1.899933981905619e-05
46,2020-04-11,1.254325347277496e-05
47,2020-04-12,2.0290557088312435e-05
48,2020-04-13,1.4203389961818704e-05
49,2020-04-14,1.4203389961818704e-05
50,2020-04-15,2.2504072407037428e-05
51,2020-04-16,1.899933981905619e-05
52,2020-04-17,1.4756768791499954e-05
53,2020-04-18,1.9921637868524935e-05
54,2020-04-19,9.03852088479372e-06
55,2020-04-20,6.640545956174979e-06
56,2020-04-21,1.549460723107495e-05
57,2020-04-22,1.4387849571712456e-05
58,2020-04-23,1.4203389961818704e-05
59,2020-04-24,1.272771308266871e-05
60,2020-04-25,9.77635932436872e-06
61,2020-04-26,4.611490247343736e-06
62,2020-04-27,6.825005566068728e-06
63,2020-04-28,1.309663230245621e-05
64,2020-04-29,9.222980494687472e-06
65,2020-04-30,7.193924785856228e-06
66,2020-05-01,7.193924785856228e-06
67,2020-05-02,7.931763225431225e-06
68,2020-05-03,4.242571027556236e-06
69,2020-05-04,8.116222835324974e-06
70,2020-05-05,8.300682445218724e-06
71,2020-05-06,8.116222835324974e-06
72,2020-05-07,7.193924785856228e-06
73,2020-05-08,5.349328686918733e-06
74,2020-05-09,7.747303615537475e-06
75,2020-05-10,2.0290557088312434e-06
76,2020-05-11,2.213515318724993e-06
77,2020-05-12,4.611490247343736e-06
78,2020-05-13,3.5047325879812388e-06
79,2020-05-14,3.5047325879812388e-06
80,2020-05-15,4.4270306374499865e-06
81,2020-05-16,4.242571027556236e-06
82,2020-05-17,2.3979749286187426e-06
83,2020-05-18,7.378384395749977e-07
84,2020-05-19,3.13581336819374e-06
85,2020-05-20,3.689192197874989e-06
86,2020-05-21,3.5047325879812388e-06
87,2020-05-22,2.582434538512492e-06
88,2020-05-23,4.795949857237485e-06
89,2020-05-24,1.1067576593624966e-06
90,2020-05-25,1.1067576593624966e-06
91,2020-05-26,3.320272978087489e-06
92,2020-05-27,2.213515318724993e-06
93,2020-05-28,3.320272978087489e-06
94,2020-05-29,2.9513537582999907e-06
95,2020-05-30,0.0
96,2020-05-31,2.9513537582999907e-06
97,2020-06-01,1.1067576593624966e-06
98,2020-06-02,1.291217269256246e-06
99,2020-06-03,5.718247906706232e-06
100,2020-06-04,2.213515318724993e-06
101,2020-06-05,3.13581336819374e-06
102,2020-06-06,5.533788296812483e-06
103,2020-06-07,1.4756768791499951e-06
104,2020-06-08,1.6601364890437447e-06
105,2020-06-09,3.5047325879812388e-06
106,2020-06-10,2.3979749286187426e-06
107,2020-06-11,2.582434538512492e-06
108,2020-06-12,2.0290557088312434e-06
109,2020-06-13,2.3979749286187426e-06
110,2020-06-14,1.291217269256246e-06
111,2020-06-15,1.1067576593624966e-06
112,2020-06-16,3.320272978087489e-06
113,2020-06-17,6.640545956174979e-06
114,2020-06-18,2.7668941484062413e-06
115,2020-06-19,2.3979749286187426e-06
116,2020-06-20,3.320272978087489e-06
117,2020-06-21,1.1067576593624966e-06
118,2020-06-22,7.378384395749977e-07
119,2020-06-23,5.164869077024984e-06
120,2020-06-24,2.3979749286187426e-06
121,2020-06-25,3.8736518077687375e-06
122,2020-06-26,3.13581336819374e-06
123,2020-06-27,4.058111417662487e-06
124,2020-06-28,1.8445960989374945e-06
125,2020-06-29,1.8445960989374944e-07
126,2020-06-30,4.795949857237485e-06
127,2020-07-01,2.0290557088312434e-06
128,2020-07-02,1.4756768791499951e-06
129,2020-07-03,1.6601364890437447e-06
130,2020-07-04,1.8445960989374945e-06
131,2020-07-05,3.689192197874989e-07
132,2020-07-06,1.8445960989374944e-07
133,2020-07-07,2.582434538512492e-06
134,2020-07-08,1.8445960989374945e-06
135,2020-07-09,2.0290557088312434e-06
136,2020-07-10,1.4756768791499951e-06
137,2020-07-11,2.3979749286187426e-06
138,2020-07-12,7.378384395749977e-07
139,2020-07-13,9.222980494687472e-07
140,2020-07-14,3.5047325879812388e-06
141,2020-07-15,1.4756768791499951e-06
142,2020-07-16,1.1067576593624966e-06
143,2020-07-17,7.378384395749977e-07
144,2020-07-18,2.213515318724993e-06
145,2020-07-19,1.8445960989374944e-07
146,2020-07-20,5.533788296812483e-07
147,2020-07-21,3.8736518077687375e-06
148,2020-07-22,1.1067576593624966e-06
149,2020-07-23,4.058111417662487e-06
150,2020-07-24,1.1067576593624966e-06
151,2020-07-25,4.4270306374499865e-06
152,2020-07-26,1.1067576593624966e-06
153,2020-07-27,1.6601364890437447e-06
154,2020-07-28,4.4270306374499865e-06
155,2020-07-29,2.9513537582999907e-06
156,2020-07-30,6.825005566068728e-06
157,2020-07-31,4.242571027556236e-06
158,2020-08-01,1.3281091912349958e-05
159,2020-08-02,2.582434538512492e-06
160,2020-08-03,2.3979749286187426e-06
161,2020-08-04,7.0094651759624776e-06
162,2020-08-05,7.378384395749977e-06
163,2020-08-06,1.217433425298746e-05
164,2020-08-07,1.4572309181606204e-05
165,2020-08-08,1.4756768791499954e-05
166,2020-08-09,6.4560863462812295e-06
167,2020-08-10,6.27162673638748e-06
168,2020-08-11,1.1620955423306214e-05
169,2020-08-12,7.931763225431225e-06
170,2020-08-13,1.1620955423306214e-05
171,2020-08-14,9.960818934262467e-06
172,2020-08-15,1.4018930351924957e-05
173,2020-08-16,8.116222835324974e-06
174,2020-08-17,4.9804094671312346e-06
175,2020-08-18,1.3650011132137456e-05
176,2020-08-19,1.0698657373837468e-05
177,2020-08-20,1.1067576593624964e-05
178,2020-08-21,9.40744010458122e-06
179,2020-08-22,9.77635932436872e-06
180,2020-08-23,8.300682445218724e-06
181,2020-08-24,3.5047325879812388e-06
182,2020-08-25,1.2358793862881212e-05
183,2020-08-26,7.747303615537475e-06
184,2020-08-27,7.378384395749977e-06
185,2020-08-28,9.59189971447497e-06
186,2020-08-29,1.549460723107495e-05
187,2020-08-30,7.747303615537475e-06
188,2020-08-31,9.222980494687472e-06
189,2020-09-01,2.7300022264274916e-05
190,2020-09-02,2.1212855137781183e-05
191,2020-09-03,1.863042059926869e-05
192,2020-09-04,2.305745123671868e-05
193,2020-09-05,2.195069357735618e-05
194,2020-09-06,1.3465551522243708e-05
195,2020-09-07,1.1067576593624964e-05
196,2020-09-08,2.4348668505974923e-05
197,2020-09-09,2.084393591799369e-05
198,2020-09-10,2.2872991626824928e-05
199,2020-09-11,2.4348668505974923e-05
200,2020-09-12,2.195069357735618e-05
201,2020-09-13,1.2358793862881212e-05
202,2020-09-14,1.4387849571712456e-05
203,2020-09-15,1.918379942894994e-05
204,2020-09-16,2.4533128115868677e-05
205,2020-09-17,2.527096655544367e-05
206,2020-09-18,2.1581774357568683e-05
207,2020-09-19,1.7339203330012445e-05
208,2020-09-20,1.0698657373837468e-05
209,2020-09-21,1.4203389961818704e-05
210,2020-09-22,3.006691641268116e-05
211,2020-09-23,1.863042059926869e-05
212,2020-09-24,2.637772421480617e-05
213,2020-09-25,2.4533128115868677e-05
214,2020-09-26,2.3979749286187423e-05
215,2020-09-27,1.1620955423306214e-05
216,2020-09-28,9.960818934262467e-06
217,2020-09-29,2.2872991626824928e-05
218,2020-09-30,2.0290557088312435e-05
219,2020-10-01,2.213515318724993e-05
220,2020-10-02,2.4164208896081173e-05
221,2020-10-03,2.4717587725762423e-05
222,2020-10-04,2.0290557088312435e-05
223,2020-10-05,1.6416905280543698e-05
224,2020-10-06,3.855205846779363e-05
225,2020-10-07,3.652300275896239e-05
226,2020-10-08,3.670746236885613e-05
227,2020-10-09,3.09892144621499e-05
228,2020-10-10,2.6008804995018668e-05
229,2020-10-11,1.1989874643093711e-05
230,2020-10-12,1.4387849571712456e-05
231,2020-10-13,3.080475485225615e-05
232,2020-10-14,2.859123953353116e-05
233,2020-10-15,2.988245680278741e-05
234,2020-10-16,2.619326460491242e-05
235,2020-10-17,2.527096655544367e-05
236,2020-10-18,1.6232445670649948e-05
237,2020-10-19,1.7154743720118695e-05
238,2020-10-20,4.039665456673112e-05
239,2020-10-21,3.375610861055614e-05
240,2020-10-22,4.0765573786518624e-05
241,2020-10-23,5.257098881971858e-05
242,2020-10-24,6.788113644089978e-05
243,2020-10-25,4.261016988545611e-05
244,2020-10-26,3.726084119853738e-05
245,2020-10-27,8.983183001825596e-05
246,2020-10-28,7.212370746845602e-05
247,2020-10-29,9.499669909528096e-05
248,2020-10-30,7.9502091864206e-05
249,2020-10-31,0.0001138115793044
250,2020-11-01,7.101694980909353e-05
251,2020-11-02,5.958045399568106e-05
252,2020-11-03,0.0001193453676012
253,2020-11-04,0.0001259859135574
254,2020-11-05,0.0001272771308266
255,2020-11-06,0.000111044685156
256,2020-11-07,0.0001198987464309
257,2020-11-08,7.157032863877477e-05
258,2020-11-09,7.101694980909353e-05
259,2020-11-10,0.0001304129441948
260,2020-11-11,0.0001112291447659
261,2020-11-12,0.0001221122617496
262,2020-11-13,0.0001175007715023
263,2020-11-14,0.0001285683480959
264,2020-11-15,6.991019214973104e-05
265,2020-11-16,7.470614200696852e-05
266,2020-11-17,0.0001331798383432
267,2020-11-18,0.0001171318522825
268,2020-11-19,0.0001202676656507
269,2020-11-20,0.00010403521998
270,2020-11-21,9.573453753485594e-05
271,2020-11-22,5.312436764939983e-05
272,2020-11-23,5.146423116035609e-05
273,2020-11-24,0.0001125203620351
274,2020-11-25,7.6550738105906e-05
275,2020-11-26,9.462777987549344e-05
276,2020-11-27,8.798723391931847e-05
277,2020-11-28,8.2453445622506e-05
278,2020-11-29,4.353246793492486e-05
279,2020-11-30,4.205679105577487e-05
280,2020-12-01,8.263790523239974e-05
281,2020-12-02,6.677437878153729e-05
282,2020-12-03,7.747303615537475e-05
283,2020-12-04,7.378384395749977e-05
284,2020-12-05,7.046357097941228e-05
285,2020-12-06,4.648382169322486e-05
286,2020-12-07,4.8328417792162346e-05
287,2020-12-08,9.222980494687473e-05
288,2020-12-09,7.230816707834977e-05
289,2020-12-10,8.356020328186849e-05
290,2020-12-11,8.0239930303781e-05
291,2020-12-12,7.433722278718101e-05
292,2020-12-13,4.722166013279985e-05
293,2020-12-14,5.257098881971858e-05
294,2020-12-15,0.0001003460277821
295,2020-12-16,8.116222835324974e-05
296,2020-12-17,8.300682445218724e-05
297,2020-12-18,7.9502091864206e-05
298,2020-12-19,8.761831469953097e-05
299,2020-12-20,5.699801945716857e-05
300,2020-12-21,5.515342335823108e-05
301,2020-12-22,0.000114549417744
302,2020-12-23,0.0001032973815404
303,2020-12-24,0.0001082777910076
304,2020-12-25,5.386220608897483e-05
305,2020-12-26,5.404666569886858e-05
306,2020-12-27,8.595817821048723e-05
307,2020-12-28,7.83953342048435e-05
308,2020-12-29,0.0001435095764973
309,2020-12-30,0.0001289372673157
310,2020-12-31,0.0001178696907221
311,2021-01-01,8.005547069388725e-05
312,2021-01-02,6.38230250232373e-05
313,2021-01-03,9.70257548041122e-05
314,2021-01-04,8.2453445622506e-05
315,2021-01-05,0.0001730231140803
316,2021-01-06,0.0001466453898655
